id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบ,ร้อยละ,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
pat1-2557-03-q04,pat1-2557-03,รูป,mc,1,1,0,0%,🔴 ไม่เคยเห็น,32,
pat1-2557-03-q05,pat1-2557-03,รูป,mc,2,1,0,0%,🔴 ไม่เคยเห็น,32,
pat1-2558-10-q29,pat1-2558-10,ตาราง,mc,1,1,1,100%,🟢 น่าจะเห็น,,
pat1-2560-03-q18,pat1-2560-03,รูป,mc,3,5,1,20%,🟠 น่าสงสัย,26 48 32 92,
pat1-2560-03-q21,pat1-2560-03,รูป,mc,3,6,2,33%,🟠 น่าสงสัย,67 22 26 92,
pat1-2560-03-q22,pat1-2560-03,รูป,mc,0,2,0,0%,🔴 ไม่เคยเห็น,11 888,
pat1-2560-03-q31,pat1-2560-03,รูป,fill,7,1,0,0%,🔴 ไม่เคยเห็น,32,
pat1-2560-03-q34,pat1-2560-03,ตาราง,fill,24,14,14,100%,🟢 น่าจะเห็น,,
pat1-2560-03-q35,pat1-2560-03,ตาราง,fill,62,5,2,40%,🟠 น่าสงสัย,0.1915 0.3413 0.4938,
pat1-2560-03-q39,pat1-2560-03,รูป,fill,4,1,0,0%,🔴 ไม่เคยเห็น,0392,
pat1-2563-02-q13,pat1-2563-02,รูป,mc,2,5,3,60%,🟢 น่าจะเห็น,222 32,
pat1-2563-02-q25,pat1-2563-02,รูป,mc,3,3,1,33%,🟠 น่าสงสัย,888 30,
pat1-2565-03-q16,pat1-2565-03,ตาราง,mc,3,6,4,66%,🟢 น่าจะเห็น,01 07,
pat1-2565-03-q17,pat1-2565-03,ตาราง,mc,2,1,0,0%,🔴 ไม่เคยเห็น,10,
pat1-2565-03-q28,pat1-2565-03,ตาราง,mc,2,3,3,100%,🟢 น่าจะเห็น,,
pat1-2565-03-q34,pat1-2565-03,ตาราง,mc,0,9,2,22%,🟠 น่าสงสัย,0.02 0.21 0.31 0.69 0.79 0.84,
pat1-2565-03-q35,pat1-2565-03,ตาราง,mc,3,9,4,44%,🟠 น่าสงสัย,0.21 0.31 0.69 0.79 0.84,
samn-2555-01-q01,samn-2555-01,รูป,fill,6,1,1,100%,🟢 น่าจะเห็น,,
samn-2555-01-q19,samn-2555-01,รูป,mc,2,3,1,33%,🟠 น่าสงสัย,0.3333333333333333 11,
samn-2555-01-q22,samn-2555-01,ตาราง,mc,0,12,5,41%,🟠 น่าสงสัย,0.1700 1.1 0.3643 1.2 0.3849 0.4100,
samn-2556-01-q01,samn-2556-01,รูป,fill,4,2,2,100%,🟢 น่าจะเห็น,,
samn-2556-01-q07,samn-2556-01,ตาราง,fill,0.2,19,19,100%,🟢 น่าจะเห็น,,
samn-2556-01-q21,samn-2556-01,ตาราง,mc,1,11,5,45%,🟠 น่าสงสัย,0.215 0.085 0.133 0.68 0.25 0.99,
samn-2557-01-q07,samn-2557-01,ตาราง,fill,15.42,8,8,100%,🟢 น่าจะเห็น,,
samn-2557-01-q20,samn-2557-01,ตาราง,mc,3,17,17,100%,🟢 น่าจะเห็น,,
samn-2557-01-q22,samn-2557-01,ตาราง,mc,0,8,5,62%,🟢 น่าจะเห็น,0.0398 0.1554 0.3413,
samn-2557-01-q24,samn-2557-01,รูป,mc,1,3,1,33%,🟠 น่าสงสัย,222 62,
samn-2557-01-q30,samn-2557-01,รูป,mc,3,3,3,100%,🟢 น่าจะเห็น,,
samn-2558-01-q12,samn-2558-01,รูป,mc,3,2,2,100%,🟢 น่าจะเห็น,,
samn-2558-01-q13,samn-2558-01,รูป,mc,2,18,3,16%,🟠 น่าสงสัย,1.0 0.0 0.866 0.5 0.9397 0.342,
samn-2558-01-q21,samn-2558-01,ตาราง,mc,1,12,6,50%,🟢 น่าจะเห็น,1.44 0.4251 1.7 0.4554 2.44 0.4927,
samn-2558-01-q22,samn-2558-01,รูป,mc,0,6,3,50%,🟢 น่าจะเห็น,222 7.3333 11,
samn-2558-12-q07,samn-2558-12,ตาราง,mc,0,12,12,100%,🟢 น่าจะเห็น,,
samn-2558-12-q22,samn-2558-12,ตาราง,mc,2,7,4,57%,🟢 น่าจะเห็น,0.066 0.13 0.25,
samn-2559-12-q07,samn-2559-12,ตาราง,mc,1,5,5,100%,🟢 น่าจะเห็น,,
samn-2559-12-q22,samn-2559-12,ตาราง,mc,0,9,9,100%,🟢 น่าจะเห็น,,
samn-2561-03-q07,samn-2561-03,ตาราง,mc,0,1,1,100%,🟢 น่าจะเห็น,,
samn-2561-03-q11,samn-2561-03,รูป,mc,1,2,1,50%,🟢 น่าจะเห็น,40,
samn-2562-03-q24,samn-2562-03,ตาราง,mc,2,4,0,0%,🔴 ไม่เคยเห็น,0.1141 0.1591 0.3413 0.3849,
samn-2562-03-q26,samn-2562-03,รูป,mc,2,6,1,16%,🟠 น่าสงสัย,74 3.5857864 4.4142136 98 0392,
samn-2562-03-q27,samn-2562-03,รูป,mc,4,4,0,0%,🔴 ไม่เคยเห็น,17 16 2185 11,
samn-2562-03-q29,samn-2562-03,รูป,mc,0,5,0,0%,🔴 ไม่เคยเห็น,1.3066 0.5412 1.1481 2.7716 0392,
samn-2563-03-q09,samn-2563-03,ตาราง,mc,3,15,13,86%,🟢 น่าจะเห็น,170 174,
samn-2563-03-q11,samn-2563-03,รูป,mc,4,2,1,50%,🟢 น่าจะเห็น,38,
samn-2563-03-q21,samn-2563-03,รูป,mc,2,2,0,0%,🔴 ไม่เคยเห็น,1565 44,
samn-2563-03-q26,samn-2563-03,รูป,mc,4,4,3,75%,🟢 น่าจะเห็น,32,
samn-2564-04-q04,samn-2564-04,ตาราง,mc,1,2,1,50%,🟢 น่าจะเห็น,0.80,
samn-2565-03-q20,samn-2565-03,ตาราง,mc,2,8,2,25%,🟠 น่าสงสัย,0.3264 0.3707 0.6293 0.6700 0.6736 0.8289,
