id,setId,type,correct,คำตอบที่คาด,ผลตรวจ,จำนวนชิ้นเฉลย,หมายเหตุ
alvl1-2569-03-q03,alvl1-2569-03,mc,4,$(p \vee r) \to \sim q$,เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q04,alvl1-2569-03,mc,3,$5$,เจอแต่ไม่อยู่ท้าย,35,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q05,alvl1-2569-03,mc,4,$f(x) = 300x - 10x^2$,ไม่เจอเลย,21,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q06,alvl1-2569-03,mc,4,โดเมนคือ $\mathbb{R}$ และเรนจ์คือ $\{y \in \mathbb{R} \mid y \ge 1\}$,ไม่เจอเลย,27,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q07,alvl1-2569-03,mc,0,"$\left(\dfrac{3}{8},\ \dfrac{1}{2}\right)$",ไม่เจอเลย,42,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q08,alvl1-2569-03,mc,3,$-2\log_2 5$,เจอแต่ไม่อยู่ท้าย,22,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q09,alvl1-2569-03,mc,0,$\sqrt{2} : 2 : \sqrt{3} + 1$,เจอแต่ไม่อยู่ท้าย,37,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q11,alvl1-2569-03,mc,0,"วงกลมจุดศูนย์กลาง $(-1, 3)$ รัศมี $4$ พร้อมเส้นตรงแนวตั้ง $x = 2$ (บริเวณ $\oper",ไม่เจอเลย,26,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q12,alvl1-2569-03,mc,4,ข้อความ (ก) (ข) และ (ค) ถูกต้อง,ไม่เจอเลย,28,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q13,alvl1-2569-03,mc,4,$-4$,เจอแต่ไม่อยู่ท้าย,27,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q14,alvl1-2569-03,mc,3,ไฮเพอร์โบลาที่มีแกนตามขวางขนานกับแกน $X$,ไม่เจอเลย,37,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q15,alvl1-2569-03,mc,2,$15$,เจอแต่ไม่อยู่ท้าย,31,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q17,alvl1-2569-03,mc,1,$\dfrac{3}{10}$,เจอแต่ไม่อยู่ท้าย,24,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q18,alvl1-2569-03,mc,0,มีเพียงข้อความ (ก) เท่านั้นที่ถูกต้อง,ไม่เจอเลย,30,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2569-03-q20,alvl1-2569-03,mc,3,"$X \sim B\!\left(30,\ \dfrac{3}{16}\right)$",เจอแต่ไม่อยู่ท้าย,28,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q22,alvl1-2569-03,mc,3,$\dfrac{1}{6}$,เจอแต่ไม่อยู่ท้าย,28,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q23,alvl1-2569-03,mc,2,$32$,เจอแต่ไม่อยู่ท้าย,27,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q24,alvl1-2569-03,mc,2,"$330{,}000$ บาท",เจอแต่ไม่อยู่ท้าย,34,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q25,alvl1-2569-03,mc,1,$\displaystyle\lim_{x \to 2^+} f(x) < \lim_{x \to 2^-} f(x) = f(2)$,ไม่เจอเลย,30,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-03-q02,pat1-2552-03,mc,0,$\forall x \forall y[x \cap y \neq \varnothing]$,เจอแต่ไม่อยู่ท้าย,20,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q03,pat1-2552-03,mc,1,$\{\varnothing\} \not\subset X$,เจอแต่ไม่อยู่ท้าย,20,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q05,pat1-2552-03,mc,1,$\{x \mid x^2 = 1\}$,เจอแต่ไม่อยู่ท้าย,23,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q08,pat1-2552-03,mc,0,$\dfrac{1-\sqrt{2}}{3}$,เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q11,pat1-2552-03,mc,2,$\dfrac{4}{9}$,เจอแต่ไม่อยู่ท้าย,20,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q12,pat1-2552-03,mc,3,$\dfrac{3}{4}$,เจอแต่ไม่อยู่ท้าย,21,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q13,pat1-2552-03,mc,1,$1 - 2x^2$,เจอแต่ไม่อยู่ท้าย,37,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q15,pat1-2552-03,mc,2,6,เจอแต่ไม่อยู่ท้าย,31,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q26,pat1-2552-03,mc,3,"$\{\cos 120° + i\sin 120°, -\cos 60° - i\sin 60°\}$",เจอแต่ไม่อยู่ท้าย,18,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q33,pat1-2552-03,mc,2,"$(-1, 0) \cup (2, 3)$",เจอแต่ไม่อยู่ท้าย,39,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q36,pat1-2552-03,mc,0,96 วิธี,เจอแต่ไม่อยู่ท้าย,22,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q40,pat1-2552-03,mc,2,$\displaystyle\sum_{i=1}^{49} |x_{50} - x_i| = \sum_{i=51}^{99} |x_{50} - x_i|$,เจอแต่ไม่อยู่ท้าย,26,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q41,pat1-2552-03,mc,3,$\dfrac{11}{16}$,เจอแต่ไม่อยู่ท้าย,26,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q42,pat1-2552-03,mc,3,$\bar{x} = 14.875$ และมัธยฐานมากกว่าฐานนิยม,เจอแต่ไม่อยู่ท้าย,29,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q43,pat1-2552-03,mc,0,$-a + 2b + 2c - 3d = 0$,เจอแต่ไม่อยู่ท้าย,18,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q44,pat1-2552-03,mc,3,13.59%,ไม่เจอเลย,29,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-03-q45,pat1-2552-03,mc,1,16.67 คะแนน,เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q49,pat1-2552-03,mc,2,นาย ง,เจอแต่ไม่อยู่ท้าย,26,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-03-q50,pat1-2552-03,mc,2,นาย ง ยืนอยู่หลังนาย ข,เจอแต่ไม่อยู่ท้าย,18,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q01,pat1-2552-07,mc,1,$\forall x[Q(x)] \to \exists x[\sim P(x)]$,เจอแต่ไม่อยู่ท้าย,17,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q03,pat1-2552-07,mc,1,72 คน,เจอแต่ไม่อยู่ท้าย,16,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q05,pat1-2552-07,mc,0,4,เจอแต่ไม่อยู่ท้าย,44,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q07,pat1-2552-07,mc,2,5,เจอแต่ไม่อยู่ท้าย,51,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q08,pat1-2552-07,mc,1,-18,เจอแต่ไม่อยู่ท้าย,21,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q09,pat1-2552-07,mc,0,"$(0, 0.5)$",เจอแต่ไม่อยู่ท้าย,38,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q10,pat1-2552-07,mc,0,ก. ถูก และ ข. ถูก,เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q14,pat1-2552-07,mc,3,"(15, 0)",เจอแต่ไม่อยู่ท้าย,38,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q15,pat1-2552-07,mc,0,$3\sqrt{2} - 4$,เจอแต่ไม่อยู่ท้าย,40,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q16,pat1-2552-07,mc,0,$2\sqrt{5}$ หน่วย,เจอแต่ไม่อยู่ท้าย,27,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q17,pat1-2552-07,mc,3,"$\left(\dfrac{1}{3}, \dfrac{4}{3}\right)$",เจอแต่ไม่อยู่ท้าย,43,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q18,pat1-2552-07,mc,2,"[-2, 2)",เจอแต่ไม่อยู่ท้าย,42,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q19,pat1-2552-07,mc,1,"(1, 2)",เจอแต่ไม่อยู่ท้าย,30,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q21,pat1-2552-07,mc,3,26,เจอแต่ไม่อยู่ท้าย,31,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q23,pat1-2552-07,mc,3,$\begin{bmatrix} 1 & -1 \\ 0 & -\dfrac{1}{4} \end{bmatrix}$,เจอแต่ไม่อยู่ท้าย,18,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q24,pat1-2552-07,mc,3,$4\sqrt{2}$ หน่วย,เจอแต่ไม่อยู่ท้าย,30,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q25,pat1-2552-07,mc,1,"$\left[\dfrac{1}{2}, 1\right)$",เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q29,pat1-2552-07,mc,1,$515$,เจอแต่ไม่อยู่ท้าย,33,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q31,pat1-2552-07,mc,2,$\dfrac{3}{4} - A$,เจอแต่ไม่อยู่ท้าย,28,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q32,pat1-2552-07,mc,1,$\dfrac{7}{3}$,เจอแต่ไม่อยู่ท้าย,35,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q34,pat1-2552-07,mc,3,$2x + 13y - 15 = 0$,เจอแต่ไม่อยู่ท้าย,34,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q35,pat1-2552-07,mc,1,$156$,เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q36,pat1-2552-07,mc,2,$300$,เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q37,pat1-2552-07,mc,1,$\dfrac{58}{143}$,เจอแต่ไม่อยู่ท้าย,31,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q38,pat1-2552-07,mc,0,$\dfrac{8}{45}$,เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q39,pat1-2552-07,mc,3,$\dfrac{49}{153}$,เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q40,pat1-2552-07,mc,2,$140\pi$,เจอแต่ไม่อยู่ท้าย,26,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q41,pat1-2552-07,mc,2,ควอไทล์ที่ $3$ ของความสูงมีค่ามากกว่า $150$ เซนติเมตร,ไม่เจอเลย,49,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-07-q42,pat1-2552-07,mc,1,$30\%$,เจอแต่ไม่อยู่ท้าย,24,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q43,pat1-2552-07,mc,2,$86.43\%$,เจอแต่ไม่อยู่ท้าย,30,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q44,pat1-2552-07,mc,0,$0.5$,เจอแต่ไม่อยู่ท้าย,24,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q45,pat1-2552-07,mc,3,$2$ หน่วย,เจอแต่ไม่อยู่ท้าย,35,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q47,pat1-2552-07,mc,2,$\dfrac{\sqrt{5}}{2}$,เจอแต่ไม่อยู่ท้าย,46,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q48,pat1-2552-07,mc,0,"$[0, 40]$",เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q49,pat1-2552-07,mc,1,นาย ข เข้าเส้นชัยเป็นลำดับที่ $2$,เจอแต่ไม่อยู่ท้าย,34,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-07-q50,pat1-2552-07,mc,2,$44$ คะแนน,เจอแต่ไม่อยู่ท้าย,30,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q01,pat1-2552-10,mc,3,"$\forall x \forall y[|x| < |y| \,\lor\, |x| > |y|]$",เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q02,pat1-2552-10,mc,0,ก. ถูก และ ข. ถูก,เจอแต่ไม่อยู่ท้าย,24,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q03,pat1-2552-10,mc,2,ก. ผิด และ ข. ถูก,ไม่เจอเลย,27,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-10-q04,pat1-2552-10,mc,0,"$[-3\sqrt{5},\, -0.9]$",เจอแต่ไม่อยู่ท้าย,40,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q05,pat1-2552-10,mc,1,"$(-1,\, 0.5)$",เจอแต่ไม่อยู่ท้าย,52,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q07,pat1-2552-10,mc,0,$\dfrac{1}{\sqrt{3}}$,เจอแต่ไม่อยู่ท้าย,38,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q08,pat1-2552-10,mc,1,"$[1, 2)$",เจอแต่ไม่อยู่ท้าย,32,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q09,pat1-2552-10,mc,1,$2 + 5\sqrt{2}$ หน่วย,ไม่เจอเลย,29,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-10-q10,pat1-2552-10,mc,0,"$\left(1,\, -\dfrac{\sqrt{2}}{2}\right)$",เจอแต่ไม่อยู่ท้าย,44,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q11,pat1-2552-10,mc,2,$9$,เจอแต่ไม่อยู่ท้าย,33,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q12,pat1-2552-10,mc,3,$4$,เจอแต่ไม่อยู่ท้าย,27,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q13,pat1-2552-10,mc,0,ก. ถูก และ ข. ถูก,ไม่เจอเลย,26,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-10-q14,pat1-2552-10,mc,3,ก. ผิด และ ข. ผิด,ไม่เจอเลย,26,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-10-q15,pat1-2552-10,mc,0,$-2i$,เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q16,pat1-2552-10,mc,1,$\dfrac{1}{22}$,เจอแต่ไม่อยู่ท้าย,27,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q18,pat1-2552-10,mc,2,$\dfrac{1}{6}$,เจอแต่ไม่อยู่ท้าย,29,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q19,pat1-2552-10,mc,1,$\dfrac{2}{31}$,เจอแต่ไม่อยู่ท้าย,36,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q20,pat1-2552-10,mc,0,$x_1 + x_2 - x_3$,เจอแต่ไม่อยู่ท้าย,23,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q21,pat1-2552-10,mc,2,$\dfrac{1}{16}$,เจอแต่ไม่อยู่ท้าย,31,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q22,pat1-2552-10,mc,1,$\dfrac{2\theta}{11}$ นาที,เจอแต่ไม่อยู่ท้าย,25,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q23,pat1-2552-10,mc,3,$1276$,เจอแต่ไม่อยู่ท้าย,35,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q24,pat1-2552-10,mc,2,นาย ฉ นั่งเก้าอี้หมายเลข 2,ไม่เจอเลย,33,🔴 คำตอบไม่ปรากฏในเฉลยเลย
pat1-2552-10-q25,pat1-2552-10,mc,3,$4$ วิธี,เจอแต่ไม่อยู่ท้าย,28,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q26,pat1-2552-10,fill,'33',33,เจอแต่ไม่อยู่ท้าย,45,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q27,pat1-2552-10,fill,'30',30,เจอแต่ไม่อยู่ท้าย,40,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q28,pat1-2552-10,fill,'7.5',7.5,เจอแต่ไม่อยู่ท้าย,40,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q29,pat1-2552-10,fill,'6',6,เจอแต่ไม่อยู่ท้าย,37,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q32,pat1-2552-10,fill,'5.5',5.5,เจอแต่ไม่อยู่ท้าย,46,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q33,pat1-2552-10,fill,'8',8,เจอแต่ไม่อยู่ท้าย,41,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q35,pat1-2552-10,fill,'4',4,เจอแต่ไม่อยู่ท้าย,35,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
pat1-2552-10-q36,pat1-2552-10,fill,'0.2',0.2,เจอแต่ไม่อยู่ท้าย,26,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
