id,ระดับ,เรื่อง,รายละเอียด
alvl1-2567-03-q03,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q20,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q23,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2567-03-q30,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q13,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q16,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q22,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q24,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q25,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2568-03-v2-q29,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q01,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q05,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q12,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q15,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q16,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2569-03-q19,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q10,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q12,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q16,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q24,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q28,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q33,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-03-q41,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังตาราง
pat1-2552-03-q43,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังตาราง
pat1-2552-07-q05,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-07-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-07-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-07-q12,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-07-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-07-q15,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-07-q43,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q05,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q09,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q10,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q19,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q23,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q32,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q33,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q39,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2552-10-q50,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังตาราง
pat1-2553-03-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q08,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q09,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q15,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q29,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-03-q50,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดูตาราง
pat1-2553-07-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-07-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-07-q25,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,จากตาราง
pat1-2553-07-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-07-q27,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-07-q45,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-07-q47,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,จากตาราง
pat1-2553-07-q50,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังรูป
pat1-2553-10-q03,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-10-q09,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-10-q21,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังตาราง
pat1-2553-10-q22,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-10-q34,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2553-10-q50,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,จากตาราง
pat1-2554-03-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-03-q08,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-03-q10,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-03-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-03-q38,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-03-q47,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังตาราง
pat1-2554-12-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q05,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q09,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q13,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q16,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q20,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q21,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,จากตาราง
pat1-2554-12-q22,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q30,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q33,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2554-12-q48,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q03,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q08,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q09,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q12,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q19,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q22,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q23,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q44,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q45,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-03-q48,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q05,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q12,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q24,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q31,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q32,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q35,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q40,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q44,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2555-10-q45,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q03,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q04,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q05,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q08,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q12,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q15,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
pat1-2556-03-q16,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
