CHECKER_VERSION = 1.2
  gen-chap-07-trigonometry-q055 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q081 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q082 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q083 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q084 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q020 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q021 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q022 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q023 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q024 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q025 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q026 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q027 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q028 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q029 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q030 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q031 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q032 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q033 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q034 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q035 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q036 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q037 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q038 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q039 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q040 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q041 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q042 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q043 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q044 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q045 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q046 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q047 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q048 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q049 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q050 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q051 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q052 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q053 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q054 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q010 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q011 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q012 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q013 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q014 | eligible=True | one  4      | correct+1 = 4 | ✅
  gen-chap-07-trigonometry-q015 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q016 | eligible=True | one  3      | correct+1 = 3 | ✅
  gen-chap-07-trigonometry-q017 | eligible=True | one  1      | correct+1 = 1 | ✅
  gen-chap-07-trigonometry-q018 | eligible=True | one  2      | correct+1 = 2 | ✅
  gen-chap-07-trigonometry-q019 | eligible=True | one  2      | correct+1 = 2 | ✅

ประกาศครบทุกข้อ ⇒ หนี้ใหม่ที่เพิ่มให้ด่าน 7 = 0 ข้อ
